,PVU,DFW,LAX,NYC,CHI,ATL,GEG,LON,ORD,GRU,SLC,CORP,OPS,MEX
PVU,0,1340,914,3170,2030,2530,945,7850,2000,9770,66,10,10,2610
DFW,1340,0,1980,2220,1300,1170,2370,7640,1290,8240,1590,1340,1340,1510
LAX,914,1980,0,3960,2820,3120,1520,8770,2800,9910,948,914,914,2490
NYC,3170,2220,3960,0,1150,1220,3510,5550,1170,7680,3170,3170,3170,3360
CHI,2030,1300,2820,1150,0,958,2430,6340,25,8400,2030,2030,2030,2720
ATL,2530,1170,3120,1220,958,0,3150,6780,975,7500,2560,2530,2530,2140
GEG,945,2370,1520,3510,2430,3150,0,7480,2400,10600,879,945,945,3540
LON,7850,7640,8770,5550,6340,6780,7480,0,6360,9480,7820,7850,7850,8920
ORD,2000,1290,2800,1170,25,975,2400,6360,0,8420,2010,2000,2000,2720
GRU,9770,8240,9910,7680,8400,7500,10600,9480,8420,0,9820,9770,9770,7440
SLC,66,1590,948,3170,2030,2560,879,7820,2010,9820,0,66,66,2670
CORP,10,1340,914,3170,2030,2530,945,7850,2000,9770,66,0,10,2610
OPS,10,1340,914,3170,2030,2530,945,7850,2000,9770,66,10,0,2610
MEX,2610,1510,2490,3360,2720,2140,3540,8920,2720,7440,2670,2610,2610,0